,NameOfSubstance,hsdb_log_kow,Crippen_MolLogP,Crippen_MolMR,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,ExactMolWt,FractionCSP3,allKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,N_AliphCarbC,N_AliphHetC,N_AliphRing,N_AmideBonds,N_AromCarbC,N_AromHetC,N_AromRing,N_AtomStereoCenters,N_BridgeheadAtoms,N_HBA,N_HBD,N_Heteroatoms,N_Heterocycles,N_LipinskiHBA,N_LipinskiHBD,N_Rings,N_RotatableBonds,N_CarbC,N_SatHetC,N_SatRing,N_SpiroAt,N_UnsAtSterCent
0,NITROGLYCERIN,1.62,-1.0200999999999996,37.76020000000002,7.007439232237363,7.007439232237363,3.2727167830283674,3.2727167830283674,1.9897703395975237,1.9897703395975237,0.9668122281437214,0.9668122281437214,0.5186701494415255,0.5186701494415255,227.00257874,1.0,-2.4,12.6,6.114543066241321,7.944827586206896,80.63081361107673,0,0,0,0,0,0,0,0,0,9,0,12,0,12,0,0,8,0,0,0,0,0
1,ISOLAN,1.65,1.83282,57.06000000000004,9.812837905806852,9.812837905806852,4.867869717261687,4.867869717261687,3.9246709426843704,3.9246709426843704,1.8697994077688023,1.8697994077688023,1.119833743956714,1.119833743956714,211.132076784,0.6,-1.52,11.554183976261127,4.3343148556514555,2.7123425488532313,89.6281323769881,0,0,0,1,0,1,1,0,0,4,0,5,1,5,0,1,2,0,0,0,0,0
2,BENZENE,2.13,1.6866,26.441999999999993,3.464101615137755,3.464101615137755,2.0000000000000004,2.0000000000000004,1.1547005383792521,1.1547005383792521,0.6666666666666671,0.6666666666666671,0.38490017945975075,0.38490017945975075,78.046950192,0.0,-0.78,3.4115708812260532,1.6057694396735218,0.5823992601400448,37.43140311949697,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,CAFFEINE,-0.07,-1.0293,51.19600000000001,8.182701232117184,8.182701232117184,4.107927642957934,4.107927642957934,3.233448965575619,3.233448965575619,2.3165128954882377,2.3165128954882377,1.471179885323762,1.471179885323762,194.08037556,0.375,-1.85,8.73523326923911,2.5679479011227926,0.8757741627139433,79.02895701814933,0,0,0,0,0,2,2,0,0,6,0,6,2,6,0,2,0,0,0,0,0,0
4,CAMPHOR,2.38,2.401700000000001,44.23600000000002,7.606918903213131,7.606918903213131,4.516402641941018,4.516402641941018,4.9166936577690095,4.9166936577690095,4.4827638015220295,4.4827638015220295,2.9014656470740956,2.9014656470740956,152.120115132,0.9,-0.33,7.326147454014241,1.701311022684903,0.6047691790209927,68.17358985038433,2,0,2,0,0,0,0,2,2,1,0,1,0,1,0,2,0,2,0,2,0,2
5,CETYLPYRIDINIUM CHLORIDE,1.71,3.4594000000000005,96.94900000000008,15.318531132255533,16.074460078273987,9.873065660031044,9.873065660031044,6.709513111822233,6.709513111822233,4.547172082578516,4.547172082578516,3.0723105827730084,3.0723105827730084,339.269277896,0.7619047619047619,-0.56,22.44,17.788562695212587,14.746945916667638,150.85318966993395,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,15,0,0,0,0,0
6,EPICHLOROHYDRIN,0.45,0.624,20.459999999999994,2.777776595035811,3.5337055410542657,1.6081352178304793,2.142657701655328,1.1096451512235717,1.4182518511477555,0.57447195101505,0.9186779989207847,0.15712846238145198,0.33530262365640157,92.00289246,1.0,0.24999999999999997,3.4404761904761907,1.1492,0.7806122448979592,35.88011555948209,0,1,1,0,0,0,0,1,0,1,0,2,1,1,0,1,1,0,1,1,0,1
7,ACETIC ACID,-0.17,0.09089999999999993,13.309800000000001,2.355461885963821,2.355461885963821,0.9277309429819105,0.9277309429819105,0.5190180358994382,0.5190180358994382,0.0,0.0,0.0,0.0,60.021129368000004,0.5,-0.53,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.059948994465934,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0
8,ACETONE,-0.24,0.5952999999999999,16.355,2.908248290463863,2.908248290463863,1.2041241452319316,1.2041241452319316,0.9082482904638631,0.9082482904638631,0.0,0.0,0.0,0.0,58.041864812,0.6666666666666666,-0.33,3.67,1.0445318352059925,6.883957759412302,25.63065735666653,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
9,ACETONITRILE,-0.34,0.52988,11.287,1.9472135954999579,1.9472135954999579,0.7236067977499789,0.7236067977499789,0.22360679774997896,0.22360679774997896,0.0,0.0,0.0,0.0,41.026549096,0.5,-0.51,2.490000000000001,1.4900000000000018,1.489999999999999,19.496772823694872,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
